key,en,es,fr,de,it,pt,ru,ja,zh,ko
_langName,English,Español,Français,Deutsch,Italiano,Português,Русский,日本語,中文,한국어
subtitle,"Your vocabulary, song by song.","Tu vocabulario, canción por canción.","Ton vocabulaire, chanson après chanson.","Dein Wortschatz, Lied für Lied.","Il tuo vocabolario, canzone dopo canzone.","O seu vocabulário, música a música.","Ваш словарь, песня за песней.",あなたの語彙を、曲ごとに。,你的词汇，一首歌一首歌地积累。,노래 한 곡씩 쌓아 가는 당신의 어휘.
practiceSelected,▶ Practice selected,▶ Practicar seleccionadas,▶ Réviser la sélection,▶ Auswahl üben,▶ Esercitati sulle selezionate,▶ Praticar selecionadas,▶ Тренировать выбранные,▶ 選択した曲を練習,▶ 练习所选歌曲,▶ 선택한 곡 연습
newSong,＋ New song,＋ Nueva canción,＋ Nouvelle chanson,＋ Neues Lied,＋ Nuova canzone,＋ Nova música,＋ Новая песня,＋ 新しい曲,＋ 新建歌曲,＋ 새 노래
settings,⚙ Settings,⚙ Configuración,⚙ Paramètres,⚙ Einstellungen,⚙ Impostazioni,⚙ Configurações,⚙ Настройки,⚙ 設定,⚙ 设置,⚙ 설정
exit,✕ Exit,✕ Salir,✕ Quitter,✕ Beenden,✕ Esci,✕ Sair,✕ Выйти,✕ 終了,✕ 退出,✕ 종료
wordCount,{n} words,{n} palabras,{n} mots,{n} Wörter,{n} parole,{n} palavras,слов: {n},{n} 単語,{n} 个单词,단어 {n}개
wordCountOne,1 word,1 palabra,1 mot,1 Wort,1 parola,1 palavra,1 слово,1 単語,1 个单词,단어 1개
noSongs,No songs yet. Create your first one!,Todavía no hay canciones. ¡Creá la primera!,Aucune chanson pour l'instant. Créez la première !,Noch keine Lieder. Erstelle dein erstes!,Ancora nessuna canzone. Crea la prima!,Ainda não há músicas. Crie a primeira!,Песен пока нет. Создайте первую!,まだ曲がありません。最初の1曲を作りましょう！,还没有歌曲。来创建第一首吧！,아직 노래가 없어요. 첫 곡을 만들어 보세요!
hintNavigate,navigate,moverse,naviguer,navigieren,naviga,navegar,навигация,移動,移动,이동
hintSelect,select,seleccionar,sélectionner,auswählen,seleziona,selecionar,выбрать,選択,选择,선택
hintSongActions,song actions,acciones de la canción,actions de la chanson,Aktionen zum Lied,azioni della canzone,ações da música,действия с песней,曲の操作,歌曲操作,노래 작업
hintConfirm,confirm,confirmar,confirmer,bestätigen,conferma,confirmar,подтвердить,決定,确认,확인
hintExit,exit,salir,quitter,beenden,esci,sair,выйти,終了,退出,종료
actPractice,▶ Practice,▶ Practicar,▶ Réviser,▶ Üben,▶ Esercitati,▶ Praticar,▶ Тренировать,▶ 練習,▶ 练习,▶ 연습
actEdit,✎ Edit,✎ Editar,✎ Modifier,✎ Bearbeiten,✎ Modifica,✎ Editar,✎ Изменить,✎ 編集,✎ 编辑,✎ 수정
actDelete,🗑 Delete,🗑 Eliminar,🗑 Supprimer,🗑 Löschen,🗑 Elimina,🗑 Excluir,🗑 Удалить,🗑 削除,🗑 删除,🗑 삭제
confirmDelete,Delete “{title}” and all its words?,¿Eliminar “{title}” y todas sus palabras?,Supprimer “{title}” et tous ses mots ?,„{title}“ und alle seine Wörter löschen?,Eliminare “{title}” e tutte le sue parole?,Excluir “{title}” e todas as suas palavras?,Удалить «{title}» и все её слова?,「{title}」とその単語をすべて削除しますか？,删除“{title}”及其全部单词？,“{title}”과(와) 그 단어를 모두 삭제할까요?
toastSelectFirst,Select at least one song first — press Space on it.,Seleccioná al menos una canción — presioná Espacio sobre ella.,Sélectionnez d'abord au moins une chanson — appuyez sur Espace.,Wähle zuerst mindestens ein Lied aus — drücke dafür die Leertaste.,Seleziona prima almeno una canzone — premi Spazio su di essa.,Selecione pelo menos uma música primeiro — pressione Espaço sobre ela.,Сначала выберите хотя бы одну песню — нажмите на ней пробел.,まず曲を1つ以上選んでください — スペースキーで選択します。,请先选择至少一首歌曲 —— 在歌曲上按空格键。,먼저 노래를 하나 이상 선택하세요 — 노래 위에서 스페이스를 누르세요.
toastCreateFirst,Create a song first to start practicing.,Creá una canción primero para empezar a practicar.,Créez d'abord une chanson pour commencer à réviser.,"Erstelle zuerst ein Lied, um mit dem Üben zu beginnen.",Crea prima una canzone per iniziare a esercitarti.,Crie uma música primeiro para começar a praticar.,"Сначала создайте песню, чтобы начать тренировку.",練習を始めるには、まず曲を作成してください。,请先创建一首歌曲，然后开始练习。,연습을 시작하려면 먼저 노래를 만드세요.
editTitle,✎ Edit song,✎ Editar canción,✎ Modifier la chanson,✎ Lied bearbeiten,✎ Modifica canzone,✎ Editar música,✎ Изменить песню,✎ 曲を編集,✎ 编辑歌曲,✎ 노래 수정
newTitle,＋ New song,＋ Nueva canción,＋ Nouvelle chanson,＋ Neues Lied,＋ Nuova canzone,＋ Nova música,＋ Новая песня,＋ 新しい曲,＋ 新建歌曲,＋ 새 노래
editorSubtitle,"Write the words from the song and what they mean, in any pair of languages.","Escribí las palabras de la canción y su significado, en el par de idiomas que quieras.","Écrivez les mots de la chanson et leur signification, dans la paire de langues que vous voulez.","Schreibe die Wörter aus dem Lied und ihre Bedeutung auf, in jedem beliebigen Sprachpaar.","Scrivi le parole della canzone e il loro significato, nella coppia di lingue che preferisci.","Escreva as palavras da música e o que elas significam, em qualquer par de idiomas.",Запишите слова из песни и их значения — на любой паре языков.,曲に出てくる単語と、その意味を書きましょう。言語の組み合わせは自由です。,写下歌曲里的单词和它们的意思，语言组合随你选。,노래에 나오는 단어와 그 뜻을 원하는 언어 조합으로 적어 보세요.
songTitle,Song title,Título de la canción,Titre de la chanson,Titel des Liedes,Titolo della canzone,Título da música,Название песни,曲のタイトル,歌曲标题,노래 제목
titleExample,E.g.: Counting Stars — OneRepublic,Ej.: Counting Stars — OneRepublic,Ex. : Counting Stars — OneRepublic,Z. B.: Counting Stars — OneRepublic,Es.: Counting Stars — OneRepublic,Ex.: Counting Stars — OneRepublic,Напр.: Counting Stars — OneRepublic,例：Counting Stars — OneRepublic,例如：Counting Stars — OneRepublic,예: Counting Stars — OneRepublic
coverImage,Cover image (optional),Imagen de portada (opcional),Image de couverture (facultatif),Coverbild (optional),Immagine di copertina (facoltativa),Imagem de capa (opcional),Обложка (необязательно),カバー画像（任意）,封面图片（可选）,커버 이미지 (선택)
bgColor,Practice background color,Color de fondo al practicar,Couleur de fond pendant la révision,Hintergrundfarbe beim Üben,Colore di sfondo durante l'esercizio,Cor de fundo ao praticar,Цвет фона во время тренировки,練習中の背景色,练习时的背景色,연습 화면 배경색
colorAuto,Auto (taken from the cover),Automático (tomado de la portada),Automatique (tirée de la couverture),Automatisch (vom Cover übernommen),Automatico (preso dalla copertina),Automática (tirada da capa),Автоматически (взять с обложки),自動（カバー画像から取得）,自动（取自封面）,자동 (커버에서 가져오기)
wordsLabel,Words,Palabras,Mots,Wörter,Parole,Palavras,Слова,単語,单词,단어
wordPh,Word (as it appears in the song),Palabra (como aparece en la canción),Mot (tel qu'il apparaît dans la chanson),Wort (wie es im Lied vorkommt),Parola (come appare nella canzone),Palavra (como aparece na música),Слово (как в песне),単語（曲に出てくるとおりに）,单词（按歌里出现的样子）,단어 (노래에 나오는 그대로)
translationPh,Translation,Traducción,Traduction,Übersetzung,Traduzione,Tradução,Перевод,訳,翻译,번역
removeWord,Remove this word,Quitar esta palabra,Retirer ce mot,Dieses Wort entfernen,Rimuovi questa parola,Remover esta palavra,Убрать это слово,この単語を削除,移除这个单词,이 단어 삭제
